epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1638655275221,2021-12-04T16:01:15.221,0.000,-0.106,0.905,0.323
1638655275301,2021-12-04T16:01:15.301,0.080,-0.081,0.938,0.328
1638655275383,2021-12-04T16:01:15.383,0.162,-0.079,0.987,0.310
1638655275464,2021-12-04T16:01:15.464,0.243,-0.083,1.012,0.249
1638655275544,2021-12-04T16:01:15.544,0.323,-0.118,0.943,0.246
1638655275625,2021-12-04T16:01:15.625,0.404,0.045,1.029,0.239
1638655275705,2021-12-04T16:01:15.705,0.484,-0.011,1.069,0.194
1638655275786,2021-12-04T16:01:15.786,0.565,-0.061,0.964,0.165
1638655275867,2021-12-04T16:01:15.867,0.646,-0.096,0.929,0.186
1638655275949,2021-12-04T16:01:15.949,0.728,-0.120,0.932,0.238
1638655276029,2021-12-04T16:01:16.029,0.808,-0.123,0.908,0.241
1638655276110,2021-12-04T16:01:16.110,0.889,-0.092,0.918,0.244
1638655276190,2021-12-04T16:01:16.190,0.969,-0.094,0.942,0.299
1638655276271,2021-12-04T16:01:16.271,1.050,-0.154,0.963,0.333
1638655276351,2021-12-04T16:01:16.351,1.130,-0.161,0.903,0.344
1638655276432,2021-12-04T16:01:16.432,1.211,-0.082,0.936,0.330
1638655276513,2021-12-04T16:01:16.513,1.292,-0.101,0.995,0.238
1638655276595,2021-12-04T16:01:16.595,1.374,-0.125,0.987,0.168
1644946732674,2022-02-15T11:38:52.674,6291457.500,0.004,0.972,0.162
1644946732755,2022-02-15T11:38:52.755,6291457.500,-0.043,0.983,0.156
1644946732835,2022-02-15T11:38:52.835,6291457.500,-0.054,0.993,0.183
1644946732916,2022-02-15T11:38:52.916,6291457.500,-0.040,0.998,0.201
1644946732996,2022-02-15T11:38:52.996,6291457.500,0.020,0.976,0.213
1644946733077,2022-02-15T11:38:53.077,6291458.000,0.034,0.963,0.212
1644946733159,2022-02-15T11:38:53.159,6291458.000,0.012,0.964,0.180
1644946733239,2022-02-15T11:38:53.239,6291458.000,0.059,0.927,0.208
1644946733320,2022-02-15T11:38:53.320,6291458.000,-0.099,0.867,0.366
1644946733401,2022-02-15T11:38:53.401,6291458.000,-0.076,0.930,0.364
1644946733481,2022-02-15T11:38:53.481,6291458.000,-0.182,1.049,0.310
1644946733562,2022-02-15T11:38:53.562,6291458.500,-0.082,0.926,0.317
1644946733642,2022-02-15T11:38:53.642,6291458.500,-0.177,0.944,0.319
1644946733723,2022-02-15T11:38:53.723,6291458.500,-0.217,1.000,0.288
1644946733805,2022-02-15T11:38:53.805,6291458.500,-0.176,0.803,0.296
1644946733885,2022-02-15T11:38:53.885,6291458.500,-0.271,0.616,0.176
1644946733966,2022-02-15T11:38:53.966,6291458.500,-0.279,0.567,0.113
1644946734047,2022-02-15T11:38:54.047,6291459.000,0.575,0.765,0.692
1644946734127,2022-02-15T11:38:54.127,6291459.000,0.269,0.937,0.872
1644946734208,2022-02-15T11:38:54.208,6291459.000,-0.007,0.543,0.741
1644946734288,2022-02-15T11:38:54.288,6291459.000,-0.421,0.635,0.590
1644946734369,2022-02-15T11:38:54.369,6291459.000,-0.468,0.305,0.419
1644946734451,2022-02-15T11:38:54.451,6291459.000,0.882,0.084,0.410
1644946734531,2022-02-15T11:38:54.531,6291459.000,1.478,0.848,0.540
1644946734612,2022-02-15T11:38:54.612,6291459.500,1.522,0.731,0.315
1644946734693,2022-02-15T11:38:54.693,6291459.500,0.977,0.212,0.570
1644946734773,2022-02-15T11:38:54.773,6291459.500,1.212,1.136,0.629
1644946734854,2022-02-15T11:38:54.854,6291459.500,0.690,0.337,0.188
1644946734934,2022-02-15T11:38:54.934,6291459.500,0.959,0.119,0.274
1644946735016,2022-02-15T11:38:55.016,6291459.500,1.156,0.313,0.241
1644946735097,2022-02-15T11:38:55.097,6291460.000,0.916,0.271,0.139
1644946735177,2022-02-15T11:38:55.177,6291460.000,0.969,0.266,0.162
1644946735258,2022-02-15T11:38:55.258,6291460.000,1.011,0.278,0.184
1644946735339,2022-02-15T11:38:55.339,6291460.000,0.945,0.326,0.177
1644946735419,2022-02-15T11:38:55.419,6291460.000,0.896,0.343,0.208
1644946735500,2022-02-15T11:38:55.500,6291460.000,0.905,0.361,0.251
