epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1638655274979,2021-12-04T16:01:14.979,0.000,7.927,-31.037,-6.402
1638655275018,2021-12-04T16:01:15.018,0.039,8.110,-31.098,-7.317
1638655275060,2021-12-04T16:01:15.060,0.081,9.817,-32.927,-8.841
1638655275101,2021-12-04T16:01:15.101,0.122,11.951,-37.439,-10.000
1638655275140,2021-12-04T16:01:15.140,0.161,14.512,-40.488,-10.305
1638655275181,2021-12-04T16:01:15.181,0.202,17.866,-39.634,-9.512
1638655275221,2021-12-04T16:01:15.221,0.242,20.305,-38.110,-6.768
1638655275262,2021-12-04T16:01:15.262,0.283,23.354,-36.524,-3.537
1638655275303,2021-12-04T16:01:15.303,0.324,24.634,-34.329,0.976
1638655275342,2021-12-04T16:01:15.342,0.363,20.427,-36.890,1.402
1638655275383,2021-12-04T16:01:15.383,0.404,16.768,-41.951,3.841
1638655275423,2021-12-04T16:01:15.423,0.444,8.049,-50.000,13.537
1638655275464,2021-12-04T16:01:15.464,0.485,-4.939,-58.476,8.171
1638655275503,2021-12-04T16:01:15.503,0.524,-3.963,-66.402,-8.598
1638655275544,2021-12-04T16:01:15.544,0.565,-0.366,-64.512,-13.415
1638655275584,2021-12-04T16:01:15.584,0.605,-0.183,-50.000,-10.549
1638655275625,2021-12-04T16:01:15.625,0.646,1.829,-34.817,-11.402
1638655275666,2021-12-04T16:01:15.666,0.687,1.159,-19.634,-11.220
1638655275705,2021-12-04T16:01:15.705,0.726,-0.610,-5.183,-10.854
1638655275747,2021-12-04T16:01:15.747,0.768,-1.341,0.793,-12.134
1638655275786,2021-12-04T16:01:15.786,0.807,-2.988,3.354,-13.232
1638655275827,2021-12-04T16:01:15.827,0.848,-4.085,3.780,-10.915
1638655275867,2021-12-04T16:01:15.867,0.888,-5.976,-0.305,-5.427
1638655275908,2021-12-04T16:01:15.908,0.929,-9.207,-5.366,-4.512
1638655275949,2021-12-04T16:01:15.949,0.970,-9.817,-10.854,-8.415
1638655275988,2021-12-04T16:01:15.988,1.009,-6.890,-14.390,-12.012
1638655276029,2021-12-04T16:01:16.029,1.050,-1.402,-14.146,-11.951
1638655276069,2021-12-04T16:01:16.069,1.090,4.268,-15.549,-7.683
1638655276110,2021-12-04T16:01:16.110,1.131,8.354,-17.134,-2.622
1638655276149,2021-12-04T16:01:16.149,1.170,7.988,-16.037,1.159
1638655276190,2021-12-04T16:01:16.190,1.211,4.573,-13.110,3.841
1638655276230,2021-12-04T16:01:16.230,1.251,3.659,-9.695,3.354
1638655276271,2021-12-04T16:01:16.271,1.292,5.000,-8.537,-1.768
1638655276312,2021-12-04T16:01:16.312,1.333,2.195,-8.354,-5.549
1638655276351,2021-12-04T16:01:16.351,1.372,-4.329,-7.683,-1.341
1638655276393,2021-12-04T16:01:16.393,1.414,-5.854,-7.500,3.110
1638655276432,2021-12-04T16:01:16.432,1.453,-4.146,-11.646,-3.110
1638655276473,2021-12-04T16:01:16.473,1.494,-9.756,-22.439,-10.915
1638655276513,2021-12-04T16:01:16.513,1.534,-10.915,-37.744,-16.098
1638655276554,2021-12-04T16:01:16.554,1.575,-5.000,-53.293,-26.890
1638655276595,2021-12-04T16:01:16.595,1.616,0.793,-64.939,-30.366
1638655276634,2021-12-04T16:01:16.634,1.655,6.037,-65.610,-20.793
1644946732674,2022-02-15T11:38:52.674,6291457.500,10.915,-63.659,0.000
1644946732714,2022-02-15T11:38:52.714,6291457.500,12.744,-65.366,-5.793
1644946732755,2022-02-15T11:38:52.755,6291457.500,15.000,-61.220,1.341
1644946732794,2022-02-15T11:38:52.794,6291458.000,11.829,-59.085,-3.415
1644946732835,2022-02-15T11:38:52.835,6291458.000,2.805,-62.866,-10.610
1644946732876,2022-02-15T11:38:52.876,6291458.000,-4.085,-66.951,-15.549
1644946732916,2022-02-15T11:38:52.916,6291458.000,-13.476,-75.366,-19.207
1644946732957,2022-02-15T11:38:52.957,6291458.000,-14.817,-78.049,-20.976
1644946732996,2022-02-15T11:38:52.996,6291458.000,-13.232,-73.780,-22.805
1644946733037,2022-02-15T11:38:53.037,6291458.000,-11.646,-69.085,-23.171
1644946733077,2022-02-15T11:38:53.077,6291458.000,-11.585,-63.232,-21.463
1644946733118,2022-02-15T11:38:53.118,6291458.000,-12.439,-56.707,-20.000
1644946733159,2022-02-15T11:38:53.159,6291458.000,-12.317,-49.634,-20.610
1644946733198,2022-02-15T11:38:53.198,6291458.000,-10.488,-39.939,-20.061
1644946733239,2022-02-15T11:38:53.239,6291458.000,-1.646,-31.646,-19.024
1644946733279,2022-02-15T11:38:53.279,6291458.000,2.866,-40.976,-17.134
1644946733320,2022-02-15T11:38:53.320,6291458.500,-5.793,-44.512,-7.256
1644946733360,2022-02-15T11:38:53.360,6291458.500,-10.061,-40.610,10.793
1644946733401,2022-02-15T11:38:53.401,6291458.500,-10.915,-43.232,16.829
1644946733440,2022-02-15T11:38:53.440,6291458.500,-7.683,-44.817,-0.610
1644946733481,2022-02-15T11:38:53.481,6291458.500,-1.280,-45.610,-12.683
1644946733522,2022-02-15T11:38:53.522,6291458.500,3.354,-47.134,-18.537
1644946733562,2022-02-15T11:38:53.562,6291458.500,1.341,-44.634,-21.768
1644946733603,2022-02-15T11:38:53.603,6291458.500,-6.220,-47.012,-19.268
1644946733642,2022-02-15T11:38:53.642,6291458.500,-15.366,-53.902,-13.049
1644946733683,2022-02-15T11:38:53.683,6291458.500,-20.488,-63.720,-16.890
1644946733723,2022-02-15T11:38:53.723,6291458.500,-26.037,-71.098,-27.317
1644946733764,2022-02-15T11:38:53.764,6291458.500,-30.061,-71.463,-35.732
1644946733805,2022-02-15T11:38:53.805,6291459.000,-33.110,-69.451,-40.610
1644946733844,2022-02-15T11:38:53.844,6291459.000,-41.402,-72.805,-40.061
1644946733885,2022-02-15T11:38:53.885,6291459.000,-45.976,-76.098,-36.951
1644946733925,2022-02-15T11:38:53.925,6291459.000,-40.854,-76.402,-27.744
1644946733966,2022-02-15T11:38:53.966,6291459.000,-44.634,-78.476,-12.561
1644946734006,2022-02-15T11:38:54.006,6291459.000,-61.707,-43.780,-10.915
1644946734047,2022-02-15T11:38:54.047,6291459.000,-78.293,-1.098,-41.037
1644946734086,2022-02-15T11:38:54.086,6291459.000,-67.744,-9.817,-47.012
1644946734127,2022-02-15T11:38:54.127,6291459.000,-79.878,-11.098,1.585
1644946734168,2022-02-15T11:38:54.168,6291459.000,-92.500,5.488,38.232
1644946734208,2022-02-15T11:38:54.208,6291459.000,-82.073,-8.963,37.744
1644946734249,2022-02-15T11:38:54.249,6291459.000,-81.524,-35.305,24.329
1644946734288,2022-02-15T11:38:54.288,6291459.000,-81.707,-65.915,17.683
1644946734329,2022-02-15T11:38:54.329,6291459.500,-39.085,-123.720,27.805
1644946734369,2022-02-15T11:38:54.369,6291459.500,9.451,-184.512,45.793
1644946734410,2022-02-15T11:38:54.410,6291459.500,61.951,-218.720,61.037
1644946734451,2022-02-15T11:38:54.451,6291459.500,114.756,-205.366,48.476
1644946734490,2022-02-15T11:38:54.490,6291459.500,97.500,-144.085,-36.524
1644946734531,2022-02-15T11:38:54.531,6291459.500,56.220,-102.317,-131.524
1644946734571,2022-02-15T11:38:54.571,6291459.500,26.646,-47.927,-165.732
1644946734612,2022-02-15T11:38:54.612,6291459.500,33.537,25.061,-58.232
1644946734652,2022-02-15T11:38:54.652,6291459.500,48.232,62.439,72.256
1644946734693,2022-02-15T11:38:54.693,6291459.500,59.085,-38.476,126.220
1644946734734,2022-02-15T11:38:54.734,6291459.500,8.476,-38.598,97.012
1644946734773,2022-02-15T11:38:54.773,6291459.500,-15.244,18.902,47.378
1644946734814,2022-02-15T11:38:54.814,6291459.500,3.659,-19.207,87.561
1644946734854,2022-02-15T11:38:54.854,6291460.000,-8.110,-26.402,142.378
1644946734895,2022-02-15T11:38:54.895,6291460.000,5.488,-34.878,95.976
1644946734934,2022-02-15T11:38:54.934,6291460.000,23.293,-37.256,67.866
1644946734975,2022-02-15T11:38:54.975,6291460.000,33.354,-27.927,55.305
1644946735016,2022-02-15T11:38:55.016,6291460.000,39.878,-13.110,45.183
1644946735056,2022-02-15T11:38:55.056,6291460.000,41.829,-5.610,36.707
1644946735097,2022-02-15T11:38:55.097,6291460.000,31.037,-8.841,28.110
1644946735136,2022-02-15T11:38:55.136,6291460.000,25.122,-11.524,10.671
1644946735177,2022-02-15T11:38:55.177,6291460.000,21.402,-6.524,0.183
1644946735217,2022-02-15T11:38:55.217,6291460.000,13.476,3.110,-1.768
1644946735258,2022-02-15T11:38:55.258,6291460.000,14.207,9.695,-5.000
1644946735298,2022-02-15T11:38:55.298,6291460.000,13.963,13.110,-7.622
1644946735339,2022-02-15T11:38:55.339,6291460.500,10.122,15.610,-5.610
1644946735380,2022-02-15T11:38:55.380,6291460.500,1.951,11.707,-5.122
1644946735419,2022-02-15T11:38:55.419,6291460.500,-3.415,9.207,-7.988
1644946735460,2022-02-15T11:38:55.460,6291460.500,-7.439,7.134,-11.037
1644946735500,2022-02-15T11:38:55.500,6291460.500,-12.683,7.561,-15.061
1644946735541,2022-02-15T11:38:55.541,6291460.500,-19.146,2.683,-18.659
1644946735580,2022-02-15T11:38:55.580,6291460.500,-20.854,-2.317,-22.317
1644946735621,2022-02-15T11:38:55.621,6291460.500,-19.451,-5.915,-24.512
1644946735662,2022-02-15T11:38:55.662,6291460.500,-18.415,-9.695,-26.585
1644946735702,2022-02-15T11:38:55.702,6291460.500,-21.341,-13.598,-32.683
1644946735743,2022-02-15T11:38:55.743,6291460.500,-21.220,-17.622,-38.841
1644946735782,2022-02-15T11:38:55.782,6291460.500,-22.805,-24.024,-47.012
1644946735823,2022-02-15T11:38:55.823,6291460.500,-25.793,-30.061,-55.000
1644946735863,2022-02-15T11:38:55.863,6291461.000,-24.390,-28.780,-65.244
1644946735904,2022-02-15T11:38:55.904,6291461.000,-16.463,-26.768,-67.866
1644946735945,2022-02-15T11:38:55.945,6291461.000,-9.512,-22.439,-63.537
1644946735985,2022-02-15T11:38:55.985,6291461.000,-11.220,-23.232,-52.012
1644946736026,2022-02-15T11:38:56.026,6291461.000,-15.732,-17.866,-45.000
1644946736065,2022-02-15T11:38:56.065,6291461.000,-16.463,-16.646,-42.683
1644946736106,2022-02-15T11:38:56.106,6291461.000,-11.951,-17.073,-40.793
1644946736146,2022-02-15T11:38:56.146,6291461.000,-14.695,-2.683,-43.780
1644946736187,2022-02-15T11:38:56.187,6291461.000,-16.220,2.988,-48.354
1644946736228,2022-02-15T11:38:56.228,6291461.000,-3.293,5.610,-49.451
1644946736267,2022-02-15T11:38:56.267,6291461.000,-3.780,1.098,-41.768
1644946736308,2022-02-15T11:38:56.308,6291461.000,-1.890,-16.280,-43.232
1644946736348,2022-02-15T11:38:56.348,6291461.000,-4.573,-27.866,-66.585
1644946736389,2022-02-15T11:38:56.389,6291461.500,-0.549,-31.463,-72.256
1644946736428,2022-02-15T11:38:56.428,6291461.500,12.012,-42.439,-68.232
1644946736469,2022-02-15T11:38:56.469,6291461.500,9.207,-48.110,-51.159
1644946736509,2022-02-15T11:38:56.509,6291461.500,4.024,-36.463,-28.841
1644946736550,2022-02-15T11:38:56.550,6291461.500,-5.305,-20.122,-6.829
1644946736591,2022-02-15T11:38:56.591,6291461.500,-7.317,3.232,6.037
1644946736631,2022-02-15T11:38:56.631,6291461.500,-2.378,15.183,12.195
1644946736672,2022-02-15T11:38:56.672,6291461.500,0.427,17.134,13.232
1644946736711,2022-02-15T11:38:56.711,6291461.500,5.549,23.537,12.927
1644946736752,2022-02-15T11:38:56.752,6291461.500,11.341,31.524,4.390
1644946736792,2022-02-15T11:38:56.792,6291461.500,21.524,37.378,-17.866
1644946736833,2022-02-15T11:38:56.833,6291461.500,33.354,36.159,-29.085
1644946736874,2022-02-15T11:38:56.874,6291462.000,31.707,36.829,-31.159
1644946736913,2022-02-15T11:38:56.913,6291462.000,6.220,44.634,-34.451
1644946736954,2022-02-15T11:38:56.954,6291462.000,-14.756,40.610,-39.207
1644946736994,2022-02-15T11:38:56.994,6291462.000,4.817,25.793,-31.646
1644946737035,2022-02-15T11:38:57.035,6291462.000,13.841,34.390,-27.073
1644946737074,2022-02-15T11:38:57.074,6291462.000,-23.171,58.902,-60.366
1644946737115,2022-02-15T11:38:57.115,6291462.000,-31.037,62.134,-80.305
1644946737155,2022-02-15T11:38:57.155,6291462.000,-46.829,56.463,-63.415
1644946737196,2022-02-15T11:38:57.196,6291462.000,-61.159,42.073,-63.841
1644946737237,2022-02-15T11:38:57.237,6291462.000,-64.634,22.805,-60.488
1644946737277,2022-02-15T11:38:57.277,6291462.000,-66.220,16.159,-42.683
1644946737318,2022-02-15T11:38:57.318,6291462.000,-65.671,13.537,-24.024
1644946737357,2022-02-15T11:38:57.357,6291462.000,-55.427,2.073,-17.866
1644946737398,2022-02-15T11:38:57.398,6291462.500,-44.878,-9.695,-19.939
1644946737438,2022-02-15T11:38:57.438,6291462.500,-34.512,-15.122,-21.707
