epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1638575151033,2021-12-03T17:45:51.033,0.000,0.941,-0.122,0.297
1638575151114,2021-12-03T17:45:51.114,0.081,0.951,-0.120,0.300
1638575151194,2021-12-03T17:45:51.194,0.161,0.950,-0.119,0.300
1638575151276,2021-12-03T17:45:51.276,0.243,0.949,-0.120,0.298
1638575151357,2021-12-03T17:45:51.357,0.324,0.949,-0.120,0.297
1638575151437,2021-12-03T17:45:51.437,0.404,0.948,-0.119,0.297
1638575151518,2021-12-03T17:45:51.518,0.485,0.948,-0.120,0.300
1638575151599,2021-12-03T17:45:51.599,0.566,0.949,-0.122,0.300
1638575151679,2021-12-03T17:45:51.679,0.646,0.949,-0.119,0.297
1638575151760,2021-12-03T17:45:51.760,0.727,0.948,-0.120,0.299
1638575151840,2021-12-03T17:45:51.840,0.807,0.948,-0.121,0.300
1638575151922,2021-12-03T17:45:51.922,0.889,0.949,-0.119,0.299
1638575152003,2021-12-03T17:45:52.003,0.970,0.950,-0.121,0.299
1638575152083,2021-12-03T17:45:52.083,1.050,0.949,-0.121,0.301
1638575152164,2021-12-03T17:45:52.164,1.131,0.948,-0.119,0.298
1638575152245,2021-12-03T17:45:52.245,1.212,0.950,-0.119,0.300
1638575152325,2021-12-03T17:45:52.325,1.292,0.950,-0.120,0.300
1638575152406,2021-12-03T17:45:52.406,1.373,0.948,-0.121,0.300
1638575152486,2021-12-03T17:45:52.486,1.453,0.949,-0.119,0.299
1638575152568,2021-12-03T17:45:52.568,1.535,0.950,-0.120,0.299
1638575152649,2021-12-03T17:45:52.649,1.616,0.947,-0.123,0.300
1638575152729,2021-12-03T17:45:52.729,1.696,0.948,-0.120,0.301
1638575152810,2021-12-03T17:45:52.810,1.777,0.949,-0.119,0.300
1638575152891,2021-12-03T17:45:52.891,1.858,0.948,-0.122,0.298
1638575152971,2021-12-03T17:45:52.971,1.938,0.948,-0.120,0.300
1638575153052,2021-12-03T17:45:53.052,2.019,0.950,-0.118,0.299
1638575153132,2021-12-03T17:45:53.132,2.099,0.948,-0.122,0.300
1638575153213,2021-12-03T17:45:53.213,2.180,0.948,-0.122,0.299
1638575153295,2021-12-03T17:45:53.295,2.262,0.949,-0.119,0.298
1638575153375,2021-12-03T17:45:53.375,2.342,0.948,-0.121,0.301
1638575153456,2021-12-03T17:45:53.456,2.423,0.947,-0.121,0.299
1638575153537,2021-12-03T17:45:53.537,2.504,0.948,-0.119,0.298
1638575153617,2021-12-03T17:45:53.617,2.584,0.950,-0.119,0.299
1638575153698,2021-12-03T17:45:53.698,2.665,0.948,-0.122,0.302
1638575153778,2021-12-03T17:45:53.778,2.745,0.948,-0.121,0.300
1638575153859,2021-12-03T17:45:53.859,2.826,0.950,-0.119,0.300
1638575153941,2021-12-03T17:45:53.941,2.908,0.949,-0.123,0.301
1638575154021,2021-12-03T17:45:54.021,2.988,0.947,-0.119,0.298
1638575154102,2021-12-03T17:45:54.102,3.069,0.950,-0.119,0.300
