epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1638575150750,2021-12-03T17:45:50.750,0.000,2.561,-1.646,-0.976
1638575150791,2021-12-03T17:45:50.791,0.041,0.976,-1.220,-0.671
1638575150831,2021-12-03T17:45:50.831,0.081,0.122,-0.183,-0.183
1638575150872,2021-12-03T17:45:50.872,0.122,0.610,0.610,-0.305
1638575150913,2021-12-03T17:45:50.913,0.163,0.549,-0.976,-0.305
1638575150953,2021-12-03T17:45:50.953,0.203,0.122,0.610,-0.183
1638575150994,2021-12-03T17:45:50.994,0.244,0.183,-0.061,-0.122
1638575151033,2021-12-03T17:45:51.033,0.283,0.854,-1.402,-0.366
1638575151074,2021-12-03T17:45:51.074,0.324,0.610,1.341,-0.366
1638575151114,2021-12-03T17:45:51.114,0.364,-0.061,-0.366,-0.122
1638575151155,2021-12-03T17:45:51.155,0.405,0.305,-0.427,-0.183
1638575151196,2021-12-03T17:45:51.196,0.446,0.610,0.061,-0.427
1638575151235,2021-12-03T17:45:51.235,0.485,0.305,0.061,-0.244
1638575151276,2021-12-03T17:45:51.276,0.526,0.732,-1.159,-0.244
1638575151316,2021-12-03T17:45:51.316,0.566,0.366,0.549,-0.244
1638575151357,2021-12-03T17:45:51.357,0.607,-0.061,-0.427,-0.061
1638575151396,2021-12-03T17:45:51.396,0.646,0.427,-0.305,-0.183
1638575151437,2021-12-03T17:45:51.437,0.687,0.488,1.037,-0.244
1638575151477,2021-12-03T17:45:51.477,0.727,0.671,-1.341,-0.366
1638575151518,2021-12-03T17:45:51.518,0.768,0.610,0.793,-0.427
1638575151559,2021-12-03T17:45:51.559,0.809,0.061,0.061,-0.183
1638575151599,2021-12-03T17:45:51.599,0.849,0.183,-0.488,-0.122
1638575151640,2021-12-03T17:45:51.640,0.890,0.793,-0.427,-0.366
1638575151679,2021-12-03T17:45:51.679,0.929,0.305,1.341,-0.244
1638575151720,2021-12-03T17:45:51.720,0.970,-0.244,-1.280,0.000
1638575151760,2021-12-03T17:45:51.760,1.010,0.549,0.122,-0.305
1638575151801,2021-12-03T17:45:51.801,1.051,0.671,0.427,-0.366
1638575151840,2021-12-03T17:45:51.840,1.090,0.244,-0.915,-0.244
1638575151881,2021-12-03T17:45:51.881,1.131,0.732,1.220,-0.366
1638575151922,2021-12-03T17:45:51.922,1.172,0.732,-0.854,-0.366
1638575151962,2021-12-03T17:45:51.962,1.212,0.000,0.488,-0.122
1638575152003,2021-12-03T17:45:52.003,1.253,0.366,-0.244,-0.244
1638575152042,2021-12-03T17:45:52.042,1.292,0.732,-0.610,-0.244
1638575152083,2021-12-03T17:45:52.083,1.333,0.305,-0.488,-0.183
1638575152123,2021-12-03T17:45:52.123,1.373,0.366,0.976,-0.305
1638575152164,2021-12-03T17:45:52.164,1.414,0.305,-0.793,-0.183
1638575152204,2021-12-03T17:45:52.204,1.454,0.427,-0.671,-0.244
1638575152245,2021-12-03T17:45:52.245,1.495,0.732,0.976,-0.366
1638575152286,2021-12-03T17:45:52.286,1.536,0.427,-0.732,-0.244
1638575152325,2021-12-03T17:45:52.325,1.575,0.183,0.488,-0.122
1638575152366,2021-12-03T17:45:52.366,1.616,0.610,-0.305,-0.305
1638575152406,2021-12-03T17:45:52.406,1.656,0.305,0.183,-0.244
1638575152447,2021-12-03T17:45:52.447,1.697,0.305,-0.183,-0.244
1638575152486,2021-12-03T17:45:52.486,1.736,0.976,0.122,-0.427
1638575152527,2021-12-03T17:45:52.527,1.777,0.427,-0.488,-0.244
1638575152568,2021-12-03T17:45:52.568,1.818,0.000,0.976,-0.122
1638575152608,2021-12-03T17:45:52.608,1.858,0.610,-0.671,-0.305
1638575152649,2021-12-03T17:45:52.649,1.899,0.732,-0.732,-0.366
1638575152688,2021-12-03T17:45:52.688,1.938,0.183,1.037,-0.244
1638575152729,2021-12-03T17:45:52.729,1.979,0.244,-0.976,-0.183
1638575152769,2021-12-03T17:45:52.769,2.019,0.305,0.305,-0.183
1638575152810,2021-12-03T17:45:52.810,2.060,0.366,0.061,-0.366
1638575152850,2021-12-03T17:45:52.850,2.100,0.671,-0.427,-0.366
1638575152891,2021-12-03T17:45:52.891,2.141,0.488,-0.488,-0.244
1638575152932,2021-12-03T17:45:52.932,2.182,0.244,0.244,-0.183
1638575152971,2021-12-03T17:45:52.971,2.221,0.244,-0.671,-0.244
1638575153012,2021-12-03T17:45:53.012,2.262,0.488,0.122,-0.244
1638575153052,2021-12-03T17:45:53.052,2.302,0.366,0.427,-0.183
1638575153093,2021-12-03T17:45:53.093,2.343,0.671,-1.037,-0.305
1638575153132,2021-12-03T17:45:53.132,2.382,0.488,1.220,-0.366
1638575153173,2021-12-03T17:45:53.173,2.423,0.122,-0.549,-0.122
1638575153214,2021-12-03T17:45:53.214,2.464,0.488,-0.427,-0.244
1638575153254,2021-12-03T17:45:53.254,2.504,0.671,0.488,-0.427
1638575153295,2021-12-03T17:45:53.295,2.545,0.183,-0.061,-0.183
1638575153334,2021-12-03T17:45:53.334,2.584,0.183,-0.549,-0.122
1638575153375,2021-12-03T17:45:53.375,2.625,0.488,0.366,-0.305
1638575153415,2021-12-03T17:45:53.415,2.665,0.305,0.000,-0.244
1638575153456,2021-12-03T17:45:53.456,2.706,0.427,-0.610,-0.183
1638575153496,2021-12-03T17:45:53.496,2.746,0.366,0.976,-0.244
1638575153537,2021-12-03T17:45:53.537,2.787,0.366,-1.402,-0.244
1638575153576,2021-12-03T17:45:53.576,2.826,0.427,1.037,-0.244
1638575153617,2021-12-03T17:45:53.617,2.867,0.366,-0.244,-0.244
1638575153658,2021-12-03T17:45:53.658,2.908,0.488,-1.037,-0.244
1638575153698,2021-12-03T17:45:53.698,2.948,0.427,0.305,-0.305
1638575153739,2021-12-03T17:45:53.739,2.989,0.244,0.000,-0.183
1638575153778,2021-12-03T17:45:53.778,3.028,0.366,-0.976,-0.183
1638575153819,2021-12-03T17:45:53.819,3.069,0.488,0.366,-0.305
1638575153859,2021-12-03T17:45:53.859,3.109,0.305,0.793,-0.183
1638575153900,2021-12-03T17:45:53.900,3.150,0.244,-1.463,-0.183
1638575153941,2021-12-03T17:45:53.941,3.191,0.427,1.646,-0.305
1638575153980,2021-12-03T17:45:53.980,3.230,0.488,-1.280,-0.244
1638575154021,2021-12-03T17:45:54.021,3.271,0.610,0.488,-0.305
1638575154061,2021-12-03T17:45:54.061,3.311,0.122,0.061,-0.244
1638575154102,2021-12-03T17:45:54.102,3.352,0.366,-0.488,-0.244
1638575154142,2021-12-03T17:45:54.142,3.392,0.671,0.000,-0.366
1638575154183,2021-12-03T17:45:54.183,3.433,0.366,0.671,-0.305
1638575154222,2021-12-03T17:45:54.222,3.472,0.000,-0.671,-0.183
1638575154263,2021-12-03T17:45:54.263,3.513,0.793,-0.610,-0.427
1638575154304,2021-12-03T17:45:54.304,3.554,0.549,1.159,-0.366
1638575154344,2021-12-03T17:45:54.344,3.594,0.183,-1.707,-0.183
1638575154385,2021-12-03T17:45:54.385,3.635,0.671,0.976,-0.305
1638575154424,2021-12-03T17:45:54.424,3.674,0.305,-0.122,-0.244
1638575154465,2021-12-03T17:45:54.465,3.715,-0.061,-0.305,-0.122
1638575154505,2021-12-03T17:45:54.505,3.755,0.549,0.061,-0.305
1638575154546,2021-12-03T17:45:54.546,3.796,0.732,-0.915,-0.427
1638575154587,2021-12-03T17:45:54.587,3.837,0.427,0.122,-0.244
1638575154626,2021-12-03T17:45:54.626,3.876,0.244,0.366,-0.183
1638575154667,2021-12-03T17:45:54.667,3.917,0.305,-0.122,-0.183
1638575154707,2021-12-03T17:45:54.707,3.957,0.793,-0.793,-0.427
1638575154748,2021-12-03T17:45:54.748,3.998,0.488,1.524,-0.305
1638575154788,2021-12-03T17:45:54.788,4.038,0.244,-1.220,-0.244
1638575154829,2021-12-03T17:45:54.829,4.079,0.610,0.061,-0.305
1638575154868,2021-12-03T17:45:54.868,4.118,0.427,0.366,-0.244
1638575154909,2021-12-03T17:45:54.909,4.159,0.305,-0.549,-0.183
1638575154950,2021-12-03T17:45:54.950,4.200,0.488,0.427,-0.244
1638575154990,2021-12-03T17:45:54.990,4.240,0.305,-0.244,-0.183
1638575155031,2021-12-03T17:45:55.031,4.281,0.366,-0.305,-0.244
1638575155070,2021-12-03T17:45:55.070,4.320,0.671,0.061,-0.366
1638575155111,2021-12-03T17:45:55.111,4.361,0.366,0.488,-0.244
1638575155151,2021-12-03T17:45:55.151,4.401,0.427,-1.159,-0.244
1638575155192,2021-12-03T17:45:55.192,4.442,0.427,1.402,-0.305
1638575155231,2021-12-03T17:45:55.231,4.481,0.122,-1.159,-0.183
1638575155272,2021-12-03T17:45:55.272,4.522,0.732,-0.488,-0.366
1638575155313,2021-12-03T17:45:55.313,4.563,0.732,0.671,-0.488
1638575155353,2021-12-03T17:45:55.353,4.603,0.000,-0.671,-0.122
1638575155394,2021-12-03T17:45:55.394,4.644,0.122,0.000,-0.122
1638575155434,2021-12-03T17:45:55.434,4.684,0.732,0.000,-0.366
1638575155475,2021-12-03T17:45:55.475,4.725,0.427,-0.061,-0.305
1638575155514,2021-12-03T17:45:55.514,4.764,0.488,-0.122,-0.244
1638575155555,2021-12-03T17:45:55.555,4.805,0.427,0.488,-0.244
1638575155595,2021-12-03T17:45:55.595,4.845,0.244,-1.402,-0.244
1638575155636,2021-12-03T17:45:55.636,4.886,0.427,1.159,-0.305
1638575155677,2021-12-03T17:45:55.677,4.927,0.427,-0.122,-0.305
1638575155716,2021-12-03T17:45:55.716,4.966,0.427,-1.159,-0.244
