,fx,fy,fz,rx,ry,rz,svm
0,0.203125,-0.984375,-0.30859375,-10.31494140625,-18.73779296875,-10.31494140625,1.0514199963806388
1,0.19921875,-0.98828125,-0.33203125,-10.07080078125,-19.10400390625,-10.68115234375,1.0614295503846158
2,0.1953125,-1.00390625,-0.328125,-9.8876953125,-19.10400390625,-10.7421875,1.0740766951527776
3,0.17578125,-1.0234375,-0.32421875,-9.70458984375,-18.4326171875,-11.23046875,1.087860819273024
4,0.1640625,-1.05078125,-0.30078125,-9.521484375,-17.51708984375,-11.962890625,1.1052271710419423
5,0.16796875,-1.078125,-0.30078125,-9.33837890625,-16.41845703125,-12.939453125,1.1318287754572796
6,0.17578125,-1.08984375,-0.3359375,-8.9111328125,-15.0146484375,-14.16015625,1.1539118038965868
7,0.1953125,-1.08203125,-0.375,-8.48388671875,-13.61083984375,-15.07568359375,1.1617071914354375
8,0.19140625,-1.0703125,-0.4140625,-8.30078125,-12.6953125,-16.11328125,1.163465923051278
9,0.19921875,-1.078125,-0.45703125,-8.60595703125,-12.51220703125,-17.2119140625,1.187821194226271
10,0.1875,-1.07421875,-0.5,-9.94873046875,-12.939453125,-18.4326171875,1.1996258470254642
11,0.20703125,-1.1171875,-0.546875,-12.0849609375,-13.3056640625,-20.01953125,1.2609687205707414
12,0.2109375,-1.1484375,-0.55859375,-14.46533203125,-13.18359375,-21.3623046875,1.2943841384425114
13,0.2109375,-1.15234375,-0.5546875,-16.90673828125,-12.02392578125,-22.94921875,1.296174745058151
14,0.2109375,-1.19140625,-0.56640625,-19.10400390625,-10.55908203125,-24.35302734375,1.3359489217348002
15,0.23046875,-1.1875,-0.59375,-21.66748046875,-9.33837890625,-25.69580078125,1.3475203735849646
16,0.25,-1.17578125,-0.59765625,-24.90234375,-8.30078125,-26.06201171875,1.3424434963958911
17,0.296875,-1.16796875,-0.61328125,-27.83203125,-7.32421875,-26.30615234375,1.3521832931238003
18,0.328125,-1.14453125,-0.625,-29.47998046875,-6.53076171875,-26.0009765625,1.3447091870927195
19,0.3515625,-1.1484375,-0.61328125,-29.84619140625,-6.16455078125,-25.20751953125,1.348561742900214
20,0.37109375,-1.1171875,-0.59765625,-28.6865234375,-6.34765625,-24.23095703125,1.3202315988527826
21,0.33984375,-1.09375,-0.59765625,-27.28271484375,-7.2021484375,-22.5830078125,1.2918884743189425
