,fx,fy,fz,svm
0,1.171875,1.65234375,-4.4140625,4.856694208790102
1,2.2421875,0.73046875,-4.18359375,4.802441675327445
2,2.55078125,-0.296875,-3.4296875,4.2845508631165545
3,1.87890625,-0.859375,-3.234375,3.8379676558745337
4,1.19140625,-1.50390625,-3.703125,4.1706495449693595
5,0.890625,-0.91015625,-3.046875,3.30227869139842
6,0.59375,-0.40234375,-2.6484375,2.743836865972595
7,0.51953125,-0.421875,-2.2421875,2.3399350462155595
8,0.21875,-0.65625,-2.08203125,2.1939393225375587
9,-0.61328125,-0.7578125,-1.9921875,2.217928022257274
10,-1.171875,-0.6015625,-1.9609375,2.3622964115321134
11,-1.296875,-0.28515625,-1.9609375,2.368221850132566
12,-1.265625,0.01953125,-2.01953125,2.3834207727713808
13,-1.17578125,0.14453125,-2.05078125,2.3683442666617722
14,-0.953125,0.07421875,-1.97265625,2.1921059210587033
15,-0.65625,-0.23828125,-1.73046875,1.866002173452144
16,-0.22265625,-0.5625,-1.578125,1.6901066745294695
17,0.12890625,-0.68359375,-1.484375,1.6392944753622287
18,0.359375,-0.6875,-1.49609375,1.6852605583155569
19,0.59765625,-0.640625,-1.4921875,1.7303805705524182
20,0.76953125,-0.734375,-1.46875,1.8134805066092006
21,0.9296875,-1.1875,-1.34765625,2.022536146974959
22,0.8828125,-1.04296875,-1.25,1.851929189691877
23,0.7578125,-1.1015625,-1.06640625,1.710246185963168
24,0.48046875,-1.11328125,-0.8203125,1.4639528540852589
25,0.234375,-1.1015625,-0.66015625,1.3054416327225482
26,-0.125,-0.953125,-0.5390625,1.102116438735604
27,-0.41015625,-0.64453125,-0.3671875,0.8476292478418115
28,-0.6015625,-0.4765625,-0.33984375,0.8393348749018847
29,-0.828125,-0.4609375,-0.22265625,0.9735657143692523
30,-1.0234375,-0.671875,-0.12890625,1.231039054344058
31,-1.078125,-0.9609375,-0.0390625,1.4447422861664636
32,-1.10546875,-1.0859375,0.00390625,1.5496246867941523
33,-1.11328125,-1.17578125,0.0703125,1.6207407371659956
34,-1.015625,-1.16796875,0.11328125,1.5519271191660788
35,-0.859375,-1.03125,0.19921875,1.3570888193027613
36,-0.56640625,-1.03125,0.3125,1.2173532160137674
37,-0.30078125,-1.08984375,0.41796875,1.2053740646546978
38,-0.21484375,-1.09375,0.50390625,1.2232613817999507
