,fx,fy,fz,svm
0,-4.2265625,1.65234375,-0.27734375,4.546536042992992
1,-4.29296875,1.3828125,-0.5546875,4.544164314952647
2,-4.3203125,1.27734375,-0.5703125,4.541141211301027
3,-3.9296875,1.4609375,-0.74609375,4.258337481970113
4,-3.56640625,1.4453125,-0.97265625,3.9691613652457334
5,-3.30859375,1.03515625,-1.0234375,3.6146597877060818
6,-2.8828125,0.83984375,-1.015625,3.169769640714497
7,-2.44140625,0.70703125,-0.71875,2.64139342554562
8,-1.97265625,0.6484375,-0.3125,2.0998809780724033
9,-1.7734375,0.671875,0.11328125,1.8998234717027822
10,-1.66796875,0.78515625,0.36328125,1.8789793384952873
11,-1.5390625,0.88671875,0.5859375,1.8703759714063006
12,-1.41796875,0.81640625,0.65625,1.762900622132633
13,-1.2578125,0.7109375,0.7265625,1.6172252411055024
14,-0.9296875,0.54296875,0.703125,1.2858921715127642
15,-0.7109375,0.3828125,0.6328125,1.0258797196644205
16,-0.5625,0.23828125,0.5546875,0.8251438824579702
17,-0.43359375,0.15625,0.47265625,0.6601678068515042
18,-0.3515625,0.08984375,0.34765625,0.5025265754011174
19,-0.37109375,0.046875,0.29296875,0.4751194853830192
20,-0.421875,0.03515625,0.25,0.4916446659316691
21,-0.3671875,-0.05078125,0.16015625,0.4038012133734556
22,-0.31640625,-0.109375,0.1484375,0.36620963541435186
23,-0.3203125,-0.11328125,0.1796875,0.38434403457587646
24,-0.40625,-0.0625,0.19921875,0.456764077890942
25,-0.46875,-0.00390625,0.2109375,0.5140393469330071
26,-0.45703125,0.01171875,0.1796875,0.49122549835526147
27,-0.484375,0.05859375,0.1875,0.5226936178719447
28,-0.41796875,0.08203125,0.20703125,0.4735915333171482
29,-0.40234375,0.1015625,0.25,0.484453748638931
30,-0.390625,0.13671875,0.265625,0.4917687951177489
31,-0.36328125,0.1328125,0.3046875,0.49238897166169604
32,-0.35546875,0.10546875,0.33203125,0.4977212477177235
33,-0.33984375,0.109375,0.34765625,0.49831870645514104
34,-0.359375,0.08203125,0.39453125,0.5399392779082894
35,-0.265625,0.04296875,0.41015625,0.4905416429984564
36,-0.3046875,0.05078125,0.44140625,0.5387510422698735
37,-0.4140625,0.0546875,0.45703125,0.619125221614386
38,-0.45703125,0.0390625,0.47265625,0.6586405491972651
39,-0.49609375,0.03125,0.4453125,0.6673745529650591
40,-0.46875,0.00390625,0.42578125,0.6332704747109446
41,-0.4765625,-0.0234375,0.41015625,0.6291973317064866
42,-0.46484375,-0.05859375,0.38671875,0.6075066510374084
43,-0.41015625,-0.07421875,0.35546875,0.5478089123884236
44,-0.43359375,-0.0625,0.3515625,0.5616991912450227
45,-0.47265625,-0.05078125,0.40625,0.6253173022679166
46,-0.5234375,0.0,0.46875,0.7026474072436687
47,-0.58203125,0.015625,0.48046875,0.754887234180129
48,-0.63671875,0.04296875,0.53515625,0.8328561052139725
49,-0.70703125,0.06640625,0.55078125,0.8987007087274314
50,-0.7421875,0.0546875,0.56640625,0.9352267360654113
51,-0.78125,0.06640625,0.57421875,0.9718479950026264
52,-0.828125,0.109375,0.57421875,1.0136474136017724
53,-0.90625,0.12890625,0.5703125,1.0784999913979196
54,-0.91796875,0.15234375,0.5546875,1.0833067279385258
55,-0.97265625,0.1640625,0.5390625,1.1240840998237465
56,-1.0234375,0.16015625,0.54296875,1.1695680417559617
57,-1.05078125,0.1484375,0.52734375,1.1850174502604909
58,-1.08984375,0.1484375,0.51953125,1.2164315889300454
59,-1.10546875,0.14453125,0.53515625,1.2366659417026036
60,-1.1484375,0.14453125,0.52734375,1.2719628156109262
61,-1.11328125,0.125,0.5,1.2267926237150117
62,-1.13671875,0.1328125,0.5234375,1.2584734773383437
63,-1.15625,0.140625,0.51171875,1.2722207089285107
64,-1.14453125,0.109375,0.53125,1.2665469732116383
65,-1.15234375,0.1015625,0.5625,1.2863192875683365
